trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-92.83692323146373,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.25}",20,0,-122.97907867744827,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.1111111111111111}",20,5,-126.11734133204845,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 2}",1
4,False,"{'a': 0.2, 'e': 0.0625}",35,0,-249.65251261954398,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 5}",0
5,False,"{'a': 0.2, 'e': 0.04}",25,0,-151.0672355463141,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.2, 'e': 0.027777777777777776}",30,0,22.9804544741814,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.02040816326530612}",20,0,-23.743787608214173,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.2, 'e': 0.015625}",25,0,-185.8129226900789,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
9,False,"{'a': 0.2, 'e': 0.012345679012345678}",30,0,-84.97631119330183,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.01}",25,0,-27.535163762832216,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.008264462809917356}",20,8,24.070706587124487,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.006944444444444444}",20,0,-6.369002146444544,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.005917159763313609}",25,0,30.99787647546506,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.00510204081632653}",20,0,-119.88811271480992,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.2, 'e': 0.0044444444444444444}",20,0,7.7371198292174,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.00390625}",20,6,11.580526921067003,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.0034602076124567475}",25,8,15.312360277738817,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.0030864197530864196}",20,0,-41.11862073158038,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.002770083102493075}",25,0,-62.37069130743256,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.0025}",30,9,31.73649791886603,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-18.73446596794141,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-77.42137990718388,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,24.872879057124603,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-17.77898479354461,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,1,17.739645304200778,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,0,28.906954953288956,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-98.8153216733632,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,35.791887890201394,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,41.51704084022438,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-40.41643044729993,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
